Name,SSN,Bar,License
"Nash Short",533-48-07,"WHEATON WINERY",426942-2970
"Nash Short",533-48-07,"POSITANO RISTORANTE ITALIANO",784026-4704
"Nash Whitaker",524-25-00,Moonshiner,807305-7500
"Nash Whitaker",524-25-00,Neko,097147-8367
"Nash Whitaker",524-25-00,"BACCHUS OF LEBANON",397549-9173
"Nash Whitaker",524-25-00,"Brass Monkey",704506-9023
"Nasim Casey",588-51-05,"The Coral Room",336670-1716
"Nasim Casey",588-51-05,"The Chandos Arms",072616-5319
"Nasim Cox",822-20-01,"SPRING BEER HOUSE",556027-9498
"Nasim Cox",822-20-01,"KINGSVIEW CLUB",047272-1463
"Nasim Cox",822-20-01,Bruxelles,935080-2824
"Nasim Cox",822-20-01,BALDUCCI'S,189932-3255
"Nasim Greer",090-38-06,Budvar,826130-4276
"Nasim Greer",090-38-06,"St. James Tavern",454665-2704
"Nasim Hampton",401-36-09,"Bar Hemingway",573547-0154
"Nasim Hampton",401-36-09,"OLNEY ALE HOUSE",103007-8750
"Nasim Hampton",401-36-09,"The Bloomsbury Club Bar",032912-1156
"Nasim Randall",519-18-08,"John Donne Pub",575493-8545
"Natalie Erickson",782-90-09,"Bar Hemingway",573547-0154
"Natalie Erickson",782-90-09,"NEWS EXPRESS",615857-5438
"Natalie Erickson",782-90-09,"The Bloomsbury Club Bar",032912-1156
"Natalie Lindsey",301-92-06,"Belowzero Ice Bar",679007-3636
"Natalie Lindsey",301-92-06,"The Coral Room",336670-1716
"Natalie Lindsey",301-92-06,"The Chandos Arms",072616-5319
"Nathan Newton",884-28-01,"PIZZERIA DAMARCO",443927-4046
"Nathan Rasmussen",165-84-03,"FOUR U",436611-7341
"Nathan Rasmussen",165-84-03,"OLAZZO RESTAURANT",544976-6244
"Nathan Rasmussen",165-84-03,"BETHESDA CRAB HOUSE",789601-4995
"Nathaniel Coleman",742-32-04,"The Duke Of Argyll",452548-3394
"Nathaniel Coleman",742-32-04,CARAVAN,034340-6674
"Nathaniel Dudley",591-01-08,"Ulysses Pub",603310-5963
"Nathaniel Dudley",591-01-08,"Kings Stores",905752-1115
"Nathaniel Dudley",591-01-08,"LOS COBANOS RESTAURANT",312938-5286
"Nathaniel Garrett",491-15-02,"The B-Hive",159927-7181
"Nathaniel Gates",718-79-00,"Le Mary Céleste",498082-1021
"Nathaniel Gates",718-79-00,"Podozritelnye Litsa Bar",285412-1965
"Nathaniel Gates",718-79-00,"SOL AZTECA RESTAURANT",844222-4211
"Nathaniel Gates",718-79-00,"THE GREENE TURTLE-Ab",806320-3064
"Nathaniel Hester",019-69-07,"THELO GREEK GRILL",577421-5163
"Nathaniel Hester",019-69-07,"CLUB 175",843001-5555
"Nathaniel Holden",835-96-07,"La Fine Mousse",234798-4284
"Nathaniel Holden",835-96-07,"Connolly Station",638134-8991
"Nathaniel Oconnor",231-24-02,"John Donne Pub",575493-8545
"Nathaniel Oconnor",231-24-02,"GOURMET PUB",238323-5054
"Nathaniel Oconnor",231-24-02,"IL PORTO",657698-5615
"Nayda Dale",801-56-00,"The Chandos Arms",072616-5319
"Nayda Edwards",203-99-03,VACE,798423-6294
"Nayda Edwards",203-99-03,"Beertep Craft Pub",052726-7009
"Nayda Edwards",203-99-03,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Nayda Edwards",203-99-03,"LONGHORN STEAKHOUSE",039890-9002
"Nayda French",272-16-05,"The Ship and Whale",986328-7539
"Nayda Mccullough",039-60-04,"ALL SET",604478-1638
"Nayda Mccullough",039-60-04,"OLD TOWN POUR HOUSE",722716-4519
"Nayda Mccullough",039-60-04,"PETER CHANG'S CHINA BISTRO",578989-6023
"Nayda Rosario",832-15-02,"Pivbar Kolomenskoye",365700-4523
"Nayda Rosario",832-15-02,Cabana,012286-7948
"Nayda Rosario",832-15-02,"HUNAN NIGHT",619242-8172
"Nehru Huff",156-37-00,"BOCA BOTANA'S",633641-0946
"Nehru Huff",156-37-00,"MRS. K'S TOLL HOUSE",204463-2632
"Nehru Huff",156-37-00,"THAI TASTE",393201-0154
"Nehru Huff",156-37-00,SASUNS,239755-5612
"Nehru Montgomery",058-46-07,"The Shark and Rose",385233-3057
"Nehru Montgomery",058-46-07,"EL PAISANO",269448-6792
"Nehru Montgomery",058-46-07,"WHEATON WINERY",426942-2970
"Nehru Montgomery",058-46-07,"POSITANO RISTORANTE ITALIANO",784026-4704
"Nehru Montgomery",058-46-07,"MIDWAY PUB",589827-6299
"Nehru Powers",217-21-03,"The B-Hive",159927-7181
"Nehru Powers",217-21-03,"TWINBROOK BAR",792185-8796
"Nehru Powers",217-21-03,"L’avant comptoir du marché",508969-5034
"Nehru Powers",217-21-03,"Les Trois 8",066016-1696
"Nehru Williams",813-25-07,"FOREST GLEN PUB",724454-6920
"Nehru Williams",813-25-07,"LOS CHORROS RESTAURANT",637478-3600
"Nehru Williams",813-25-07,"DUCK DUCK GOOSE",844789-9843
"Nehru Williams",813-25-07,"SANTO POLLO ",348034-4278
"Neil Garza",827-09-07,"Bar Hemingway",573547-0154
"Neil Garza",827-09-07,"NEWS EXPRESS",615857-5438
"Neil Howard",784-38-00,"THE GREENE TURTLE-Az",272426-2650
"Neil Howard",784-38-00,"CANA BEER & WINE",192695-6895
"Neil Lindsey",788-37-03,"EL AMATE RESTAURANT",284564-0263
"Neil Lindsey",788-37-03,M&BZ,474140-4315
"Neil Lindsey",788-37-03,"BANGKOK GARDEN RESTAURANT",577007-7120
"Neil Osborn",464-80-06,"TRATTORIA SORRENTO",692127-6439
"Neil Osborn",464-80-06,Respublika,457966-5128
"Neil Osborn",464-80-06,"Tavern U Okolitsy",302168-0412
"Neil Patrick",049-42-01,"La Commune",273086-1339
"Neil Patrick",049-42-01,CANOPY,993738-4536
"Neil Powers",643-18-08,"AY! JALISCO II",622517-0445
"Neil Powers",643-18-08,"Le Sherry Butt",024478-0706
"Neil Reeves",231-57-06,Vermuteria,196332-2001
"Neil Reeves",231-57-06,"Lord John Russell Pub",804154-3375
"Neil Reeves",231-57-06,"OLD TOWN POUR HOUSE",722716-4519
"Neil Richardson",311-87-00,Combat,163829-1896
"Neil Richardson",311-87-00,"La Fine Mousse",234798-4284
"Neil Richardson",311-87-00,"Connolly Station",638134-8991
"Neil Richardson",311-87-00,"LOS COBANOS RESTAURANT",312938-5286
"Nell Frye",228-48-03,"IL PORTO",657698-5615
"Nell Jordan",629-21-03,Combat,163829-1896
"Nell Jordan",629-21-03,"La Fine Mousse",234798-4284
"Nell Jordan",629-21-03,"Connolly Station",638134-8991
"Nell Jordan",629-21-03,"Ulysses Pub",603310-5963
"Nell Jordan",629-21-03,"Kings Stores",905752-1115
"Nell Jordan",629-21-03,"LOS COBANOS RESTAURANT",312938-5286
"Nell Mccoy",043-28-01,"SOL AZTECA RESTAURANT",844222-4211
"Nell Mccoy",043-28-01,"THE GREENE TURTLE-Ab",806320-3064
"Nell Mccoy",043-28-01,"AJI-NIPPON RESTAURANT",102739-1075
"Nelle Ruiz",711-33-02,"AY! JALISCO II",622517-0445
"Nelle Ruiz",711-33-02,"AY! JALISCO",139198-2533
"Nelle Walter",516-39-06,Moonshiner,807305-7500
"Nelle Walter",516-39-06,"Aux Folies",178856-0090
"Nelle Walter",516-39-06,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Nelle Walter",516-39-06,"BACCHUS OF LEBANON",397549-9173
"Nero Atkins",877-53-06,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"Nero Atkins",877-53-06,SHANGRI'LA,392381-3350
"Nero Atkins",877-53-06,Eulipia,836692-8532
"Nero Dawson",319-71-01,"The DrumLeyton",855299-2110
"Nero Dawson",319-71-01,"MIDDLE EAST CUISINE",682135-2579
"Nero Graham",503-48-02,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Nero Graham",503-48-02,"LONGHORN STEAKHOUSE",039890-9002
"Nero Lucas",550-05-02,"A.P. Stump's",MA12347
"Nero Lucas",550-05-02,"SIU'S ASIAN BISTRO",647562-0404
"Nero Lucas",550-05-02,"The Ship and Whale",986328-7539
"Nero Reyes",191-70-04,"ADDISU GEBEYA",659375-5835
"Nero Reyes",191-70-04,"Belgian Pub BeerHouse",416665-7371
"Nero Reyes",191-70-04,"St. George's Tavern",922270-1568
"Nero Reyes",191-70-04,"THAI AT SILVER SPRING",887258-6824
"Nevada Fulton",025-90-03,"TAIPEI TOKYO",147454-4051
"Nevada Schroeder",854-93-04,"WOODMONT GRILL",277650-5097
"Nevada Schroeder",854-93-04,"Khoroshaya Ideya",627149-2743
"Nevada Schroeder",854-93-04,"TOMMY JOE'S BAR & GRILL",538974-8509
"Nevada Schwartz",127-28-01,"J N K BEER & WINE",368909-3791
"Neville Burton",322-02-02,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"Neville Burton",322-02-02,Eulipia,836692-8532
"Neville Kemp",514-74-04,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Neville Kemp",514-74-04,"The Wigmore",785196-5934
"Neville Quinn",406-59-02,"COUNTRY BOY CLUB",565494-6333
"Neville Quinn",406-59-02,"NEWS EXPRESS",615857-5438
"Neville White",729-15-03,"FOREST GLEN PUB",724454-6920
"Neville White",729-15-03,"HOWARD BAR & GRILL",564383-9375
"Neville White",729-15-03,"LOS CHORROS RESTAURANT",637478-3600
"Nicholas Campos",114-27-05,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Nicholas Campos",114-27-05,"The Wigmore",785196-5934
"Nicholas Campos",114-27-05,"THELO GREEK GRILL",577421-5163
"Nicholas Salas",364-23-06,Moonshiner,807305-7500
"Nicholas Salas",364-23-06,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Nicholas Salas",364-23-06,"SOUTHLAWN RESTAURANT",558375-0236
"Nicholas Salas",364-23-06,Artesian,023683-4925
"Nicholas Salas",364-23-06,"BACCHUS OF LEBANON",397549-9173
"Nichole Mcconnell",556-61-01,"FOUR U",436611-7341
"Nichole Mcconnell",556-61-01,"OLAZZO RESTAURANT",544976-6244
"Nichole Mcconnell",556-61-01,"BETHESDA CRAB HOUSE",789601-4995
"Nichole Mckinney",058-38-03,"The Duke Of Argyll",452548-3394
"Nichole Ochoa",190-96-07,"BARREL & CROW",938023-9690
"Nichole Ochoa",190-96-07,"Daly's Wine Bar",686766-4572
"Nichole Wilcox",313-16-03,EGGSPECTATION,459940-2189
"Nichole Wilcox",313-16-03,"Genatzvale Hall",825794-2857
"Nichole Wilcox",313-16-03,SILVER,716079-8588
"Nicole Combs",671-15-05,"PINEY BRANCH PUB",574707-0877
"Nicole Combs",671-15-05,BECLAWS,269500-5799
"Nicole Combs",671-15-05,"TARA THAI RESTAURANT",033029-0636
"Nicole Combs",671-15-05,"EVA LOUNGE",243206-3382
"Nicole Larsen",049-82-02,"CHICKEN BASKET",392762-0769
"Nicole Reeves",608-64-00,"A.P. Stump's",MA12347
"Nicole Reeves",608-64-00,"The Ship and Whale",986328-7539
"Nigel Donovan",668-07-02,SAMOVAR,569005-3193
"Nigel Donovan",668-07-02,"Purple Bar at Sanderson",016922-4284
"Nigel Donovan",668-07-02,"Ninetyeight Bar & Lounge",023694-3510
"Nigel Moreno",330-87-00,"Belowzero Ice Bar",679007-3636
"Nigel Moreno",330-87-00,"RED BOWL",707445-3676
"Nigel Moreno",330-87-00,"The Coral Room",336670-1716
"Nigel Perry",450-40-01,SHANGRI'LA,392381-3350
"Nissim Bond",748-56-01,"SPRING BEER HOUSE",556027-9498
"Nissim Bond",748-56-01,"TAKOMA PARK PUB",562552-4672
"Nissim Bond",748-56-01,"SEOULFOOD DC",328119-7933
"Nissim Bond",748-56-01,"Giza Hookah Lounge",309407-2687
"Nissim Booth",057-46-07,"PINEY BRANCH PUB",574707-0877
"Nissim Booth",057-46-07,"TARA THAI RESTAURANT",033029-0636
"Nissim Booth",057-46-07,"EVA LOUNGE",243206-3382
"Nissim Booth",057-46-07,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Nissim Golden",620-12-07,"Aux Folies",178856-0090
"Nissim Golden",620-12-07,Neko,097147-8367
"Nissim Golden",620-12-07,Artesian,023683-4925
"Nissim Golden",620-12-07,"BACCHUS OF LEBANON",397549-9173
"Nissim Golden",620-12-07,"Brass Monkey",704506-9023
"Nissim Heath",198-65-06,"GOLF ULTRA LOUNGE",008054-3713
"Nissim Heath",198-65-06,"FOUR U",436611-7341
"Nissim Heath",198-65-06,"OLAZZO RESTAURANT",544976-6244
"Nissim Heath",198-65-06,"BETHESDA CRAB HOUSE",789601-4995
"Nita Franks",224-97-05,"Belowzero Ice Bar",679007-3636
"Nita Franks",224-97-05,"WATERSHED CAFE",668344-5222
"Nita Franks",224-97-05,"The Chandos Arms",072616-5319
"Noah Dudley",810-43-06,"COUNTRY BOY CLUB",565494-6333
"Noah Dudley",810-43-06,SAMANTHA'S,065321-9717
"Noah Dudley",810-43-06,"Bar Hemingway",573547-0154
"Noah Dudley",810-43-06,"NEWS EXPRESS",615857-5438
"Noah Hanson",709-01-04,"Khoroshaya Ideya",627149-2743
"Noah Hanson",709-01-04,"Roy Castle Pub",026389-3547
"Noah Norman",848-54-00,"Belowzero Ice Bar",679007-3636
"Noah Norman",848-54-00,"RED BOWL",707445-3676
"Noah Norman",848-54-00,"The Coral Room",336670-1716
"Noah Wilder",033-97-05,"SOL AZTECA RESTAURANT",844222-4211
"Noble Carson",318-62-00,"Mandy's Apothecary Irish Pub",036932-8331
"Noble Gomez",895-70-09,"Seven Bamboo",759258-8235
"Noble Gomez",895-70-09,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Noble Gomez",895-70-09,"Bar Neon Monkey",829829-6701
"Noble Gomez",895-70-09,"HOP N GRAPE",197460-5337
"Noble Gomez",895-70-09,"The DrumLeyton",855299-2110
"Noble Gomez",895-70-09,"MIDDLE EAST CUISINE",682135-2579
"Noble Goodman",322-03-08,"SENOR TEQUILA'S",744864-1998
"Noble Goodman",322-03-08,"Chez Ammad",195979-2548
"Noble Goodman",322-03-08,"PETERS CARRY OUT",825935-7435
"Noble Goodman",322-03-08,"THE QUARRY HOUSE TAVERN",906351-1597
"Noble Lindsay",678-17-02,"KOREAN KORNER",252115-9828
"Noble Lindsay",678-17-02,"MRS. K'S TOLL HOUSE",204463-2632
"Noble Lindsay",678-17-02,"THAI TASTE",393201-0154
"Noble Lindsay",678-17-02,SASUNS,239755-5612
"Noble Randall",387-24-04,"TWINBROOK BAR",792185-8796
"Noel Banks",648-38-00,"Little Red Door",837313-9248
"Noel Banks",648-38-00,"B & B ",567607-2878
"Noel Banks",648-38-00,Bisou,152664-4651
"Noel Berger",741-57-00,SAFEWAY,076279-9393
"Noel Berger",741-57-00,"MAPLE BEER AND WINE",624171-7682
"Noel Berger",741-57-00,"Hedley Club",627764-8355
"Noel Huber",302-64-04,"ADDISU GEBEYA",659375-5835
"Noel Huber",302-64-04,"St. George's Tavern",922270-1568
"Noel Huber",302-64-04,"THAI AT SILVER SPRING",887258-6824
"Noel Montoya",837-16-01,EGGSPECTATION,459940-2189
"Noel Montoya",837-16-01,"L'Ours Bar",402911-2895
"Noel Montoya",837-16-01,SILVER,716079-8588
"Noel Perry",604-05-04,"Blue Angel",802054-2166
"Noel Perry",604-05-04,"BARREL & CROW",938023-9690
"Noel Reese",467-25-04,"Le Mary Céleste",498082-1021
"Noel Reese",467-25-04,"SOL AZTECA RESTAURANT",844222-4211
"Noel Reese",467-25-04,"THE GREENE TURTLE-Ab",806320-3064
"Noel Reese",467-25-04,"AJI-NIPPON RESTAURANT",102739-1075
"Noel Stokes",655-84-02,"TARA THAI RESTAURANT",033029-0636
"Noel Stokes",655-84-02,"EVA LOUNGE",243206-3382
"Noel Stokes",655-84-02,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Noelani Chavez",108-01-05,"DULCINEA BAR & GRILL",155187-4140
"Noelani Chavez",108-01-05,"NORMANDIE FARM RESTAURANT",604511-6289
"Noelani Chavez",108-01-05,"TAIPEI TOKYO",147454-4051
"Noelani Lamb",472-89-02,"LOCK 72 KITCHEN & BAR",797572-9430
"Noelani Lamb",472-89-02,"Lord John Russell Pub",804154-3375
"Noelani Nunez",280-57-09,"WOODMONT GRILL",277650-5097
"Noelani Nunez",280-57-09,"Khoroshaya Ideya",627149-2743
"Noelani Nunez",280-57-09,"TOMMY JOE'S BAR & GRILL",538974-8509
"Noelani Rocha",527-70-06,"TARA THAI RESTAURANT",033029-0636
"Noelani Spencer",887-44-09,"ARIA BAR & GRILL",705071-9785
"Noelani Spencer",887-44-09,"PETERS CARRY OUT",825935-7435
"Noelani Spencer",887-44-09,"THE QUARRY HOUSE TAVERN",906351-1597
"Noelle Hanson",140-25-03,"Le Mary Céleste",498082-1021
"Noelle Hanson",140-25-03,"SOL AZTECA RESTAURANT",844222-4211
"Noelle Hanson",140-25-03,"THE GREENE TURTLE-Ab",806320-3064
"Noelle Hanson",140-25-03,"AJI-NIPPON RESTAURANT",102739-1075
"Noelle Hurst",832-23-02,"EL ANDARIEGO",822937-5764
"Noelle Hurst",832-23-02,"Castor Club",812147-3998
"Noelle Hurst",832-23-02,"Winil Wine Bar",348656-7617
"Noelle Hurst",832-23-02,"Molly Gwynn's",408783-4273
"Noelle Hurst",832-23-02,"Ye Olde Mitre",379956-5316
"Noelle Lambert",623-44-01,"Satan's Whiskers",786366-9730
"Noelle Lambert",623-44-01,"Beaufort Bar",934943-7856
"Noelle Lambert",623-44-01,"HOT POT LEGEND",268449-3063
"Noelle Maynard",702-60-00,"BOCA BOTANA'S",633641-0946
"Noelle Maynard",702-60-00,"KOREAN KORNER",252115-9828
"Noelle Maynard",702-60-00,"MRS. K'S TOLL HOUSE",204463-2632
"Nolan Decker",714-21-03,"Pivbar Kolomenskoye",365700-4523
"Nolan Decker",714-21-03,"NEW VILLAGE RESTAURANT",034706-7472
"Nolan Massey",415-79-09,"OLAZZO RESTAURANT",544976-6244
"Nolan Meyers",846-95-04,SAMOVAR,569005-3193
"Nolan Meyers",846-95-04,"Septime La Cave",207005-7456
"Nolan Vasquez",717-06-09,"BARKING MAD CAFE",173337-7970
"Nolan Vasquez",717-06-09,CANOPY,993738-4536
"Nomlanga Black",435-57-09,"EL ANDARIEGO",822937-5764
"Nomlanga Black",435-57-09,"Castor Club",812147-3998
"Nomlanga Black",435-57-09,"Winil Wine Bar",348656-7617
"Nomlanga Black",435-57-09,N-EUROMART,913546-5087
"Nomlanga Black",435-57-09,"Gecko Grill",446219-2628
"Nomlanga Burnett",696-93-00,"Le Mary Céleste",498082-1021
"Nomlanga Burnett",696-93-00,"SOL AZTECA RESTAURANT",844222-4211
"Nomlanga Cameron",090-41-08,"LOCK 72 KITCHEN & BAR",797572-9430
"Nomlanga Cameron",090-41-08,Vermuteria,196332-2001
"Nomlanga Cameron",090-41-08,"OLD TOWN POUR HOUSE",722716-4519
"Nomlanga Cameron",090-41-08,"PETER CHANG'S CHINA BISTRO",578989-6023
"Nomlanga Estrada",233-15-04,"BANGKOK GARDEN RESTAURANT",577007-7120
"Nomlanga Humphrey",418-68-00,"RED BOWL",707445-3676
"Nomlanga Humphrey",418-68-00,"The Chandos Arms",072616-5319
"Nomlanga Tillman",616-92-03,"PASSION FISH",994587-9188
"Nomlanga West",172-38-05,"A.P. Stump's",MA12347
"Nomlanga West",172-38-05,"SIU'S ASIAN BISTRO",647562-0404
"Nomlanga West",172-38-05,"The Ship and Whale",986328-7539
"Nora Bennett",250-89-07,"OLAZZO RESTAURANT",544976-6244
"Nora Harmon",418-87-08,"SENOR TEQUILA'S",744864-1998
"Nora Harmon",418-87-08,"Chez Ammad",195979-2548
"Nora Harmon",418-87-08,"PETERS CARRY OUT",825935-7435
"Nora Harmon",418-87-08,CUBANO'S,284560-8641
"Nora Harmon",418-87-08,"THE QUARRY HOUSE TAVERN",906351-1597
"Nora Mayer",786-72-05,"La Commune",273086-1339
"Nora Mayer",786-72-05,"La Fontaine de Belleville",035952-6936
"Nora Rich",782-46-06,"The Backbeat",845635-3971
"Nora Rich",782-46-06,"EL MARIACHI",107629-9856
"Nora Rich",782-46-06,Tweed&Stout,443862-2740
"Nora Rich",782-46-06,"DAD'S BEER ",987820-7241
"Nora Wilkins",617-24-09,"EL ANDARIEGO",822937-5764
"Nora Wilkins",617-24-09,"Castor Club",812147-3998
"Nora Wilkins",617-24-09,"Molly Gwynn's",408783-4273
"Nora Wilkins",617-24-09,"Ye Olde Mitre",379956-5316
"Nora Wilkins",617-24-09,"Gecko Grill",446219-2628
"Norman Gay",748-99-08,"Mandy's Apothecary Irish Pub",036932-8331
"Norman Gay",748-99-08,"HUNAN NIGHT",619242-8172
"Norman Snider",594-77-03,"LOCK 72 KITCHEN & BAR",797572-9430
"Norman Snider",594-77-03,"Lord John Russell Pub",804154-3375
"Norman Snider",594-77-03,"OLD TOWN POUR HOUSE",722716-4519
"Norman Vega",420-50-05,"SIU'S ASIAN BISTRO",647562-0404
"Norman Vega",420-50-05,"The Ship and Whale",986328-7539
"Nyssa Daniels",593-82-00,"OLAZZO RESTAURANT",544976-6244
"Nyssa Daniels",593-82-00,"BETHESDA CRAB HOUSE",789601-4995
"Nyssa Murphy",040-75-00,"TOTAL BAR",532821-8028
"Nyssa Murphy",040-75-00,"Satan's Whiskers",786366-9730
"Nyssa Murphy",040-75-00,"MAMMA LENA",287813-8268
"Nyssa Valenzuela",117-31-08,"DAD'S BEER ",987820-7241
"Nyssa Valenzuela",117-31-08,"OUTTA THE WAY CAFE",993879-6407
"Nyssa Valenzuela",117-31-08,"MINERVA INDIAN CUISINE",636663-6196
"Nyssa Walter",684-27-05,"MAMMA LENA",287813-8268
"Ocean Burke",661-23-05,"MAMMA LUCIA",825954-1152
"Ocean Burke",661-23-05,"EL PAISANO",269448-6792
"Ocean Burke",661-23-05,"POSITANO RISTORANTE ITALIANO",784026-4704
"Ocean Mcgowan",450-45-02,"Castor Club",812147-3998
"Ocean Mcgowan",450-45-02,N-EUROMART,913546-5087
"Ocean Mcgowan",450-45-02,"Molly Gwynn's",408783-4273
"Ocean Mcgowan",450-45-02,"Ye Olde Mitre",379956-5316
"Octavia Bradford",227-57-07,"WORLD OF BEER",749156-9476
"Octavia Bradford",227-57-07,"Humble Grape - Battersea",289362-8384
"Octavia Cook",492-31-01,Moonshiner,807305-7500
"Octavia Cook",492-31-01,"Aux Folies",178856-0090
"Octavia Cook",492-31-01,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Octavia Cook",492-31-01,Artesian,023683-4925
"Octavia Cook",492-31-01,"BACCHUS OF LEBANON",397549-9173
"Octavia Cook",492-31-01,"Brass Monkey",704506-9023
"Octavia Hood",394-79-02,"RED BOWL",707445-3676
"Octavia Hood",394-79-02,"The Coral Room",336670-1716
"Octavia Hood",394-79-02,"The Chandos Arms",072616-5319
"Octavia Phelps",176-30-03,"Mandy's Apothecary Irish Pub",036932-8331
"Octavius Cooke",282-54-00,"MRS. K'S TOLL HOUSE",204463-2632
"Octavius Cooke",282-54-00,SASUNS,239755-5612
"Octavius Hall",008-99-01,"JO'S BEER-WINE",422040-9934
"Octavius Hall",008-99-01,CARAVAN,034340-6674
"Octavius Hall",008-99-01,"CAVA RESTAURANT",727659-2461
"Octavius Miranda",351-05-00,"The Lounge",557061-3801
"Octavius Miranda",351-05-00,"YEKTA KABOBI",018125-2537
"Octavius Miranda",351-05-00,"EL PATIO",266006-4748
"Octavius Miranda",351-05-00,"TEX'S PLACE",137395-0748
"Octavius Norris",643-60-04,EGGSPECTATION,459940-2189
"Octavius Norris",643-60-04,"L'Ours Bar",402911-2895
"Octavius Norris",643-60-04,SILVER,716079-8588
"Octavius Sims",604-90-09,"Genatzvale Hall",825794-2857
"Octavius Sims",604-90-09,"CHOICE ",075626-4206
"Odessa Barnett",754-94-04,Budvar,826130-4276
"Odessa Barnett",754-94-04,"The Rivoli Bar",726147-6027
"Odessa Barnett",754-94-04,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Odessa Bridges",228-06-07,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Odessa Bridges",228-06-07,"STAINED GLASS PUB",033215-5373
"Odessa Bridges",228-06-07,"The Wigmore",785196-5934
"Odessa Bridges",228-06-07,"THELO GREEK GRILL",577421-5163
"Odessa Guthrie",236-72-05,EGGSPECTATION,459940-2189
"Odessa Guthrie",236-72-05,"Genatzvale Hall",825794-2857
"Odessa Wilkerson",272-61-00,Budvar,826130-4276
"Odessa Wilkerson",272-61-00,"St. James Tavern",454665-2704
"Odessa Wilkerson",272-61-00,"Coconut Willie's Cocktail Loun",103228-2632
"Odette Burt",357-81-00,"BOCA BOTANA'S",633641-0946
"Odette Burt",357-81-00,"TASTE OF EUROPE",383254-4286
"Odette Burt",357-81-00,"THAI TASTE",393201-0154
"Odette Hinton",740-15-04,"Seven Bamboo",759258-8235
"Odette Hinton",740-15-04,"Bar Neon Monkey",829829-6701
"Odette Hinton",740-15-04,"The DrumLeyton",855299-2110
"Odette Hinton",740-15-04,"MIDDLE EAST CUISINE",682135-2579
"Odette Ray",649-86-06,"LOCK 72 KITCHEN & BAR",797572-9430
"Odette Ray",649-86-06,"Lord John Russell Pub",804154-3375
"Odette Ray",649-86-06,"OLD TOWN POUR HOUSE",722716-4519
"Odysseus Brady",152-51-09,"Belowzero Ice Bar",679007-3636
"Odysseus Brady",152-51-09,"RED BOWL",707445-3676
"Odysseus Brady",152-51-09,"The Coral Room",336670-1716
"Odysseus Diaz",819-38-00,SAMOVAR,569005-3193
"Odysseus Diaz",819-38-00,"Septime La Cave",207005-7456
"Odysseus Diaz",819-38-00,"Bar Italiya",278532-0199
"Odysseus Meyer",350-53-01,"Beertep Craft Pub",052726-7009
"Odysseus Meyer",350-53-01,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Odysseus Meyer",350-53-01,"CHAPALA RESTAURANT",659157-0376
"Odysseus Meyer",350-53-01,"LONGHORN STEAKHOUSE",039890-9002
"Odysseus Schneider",609-73-00,Budvar,826130-4276
"Odysseus Schneider",609-73-00,"Coconut Willie's Cocktail Loun",103228-2632
"Oleg Graves",132-56-05,"HOWARD BAR & GRILL",564383-9375
"Oleg Graves",132-56-05,"DUCK DUCK GOOSE",844789-9843
"Oleg Graves",132-56-05,"SANTO POLLO ",348034-4278
"Oleg Raymond",621-79-05,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Oleg Raymond",621-79-05,"CHAPALA RESTAURANT",659157-0376
"Oleg Raymond",621-79-05,"LONGHORN STEAKHOUSE",039890-9002
"Oleg Rodriguez",216-32-04,"Britannia Arms",033266-5462
"Oleg Rodriguez",216-32-04,"MAPLE BEER AND WINE",624171-7682
"Oleg Rodriguez",216-32-04,"PETER'S GRILL",567033-1627
"Oliver Barrett",005-66-09,"TARA THAI RESTAURANT",033029-0636
"Oliver Barrett",005-66-09,"EVA LOUNGE",243206-3382
"Oliver Blackwell",512-01-02,"RED BOWL",707445-3676
"Oliver Blackwell",512-01-02,"The Coral Room",336670-1716
"Oliver Blackwell",512-01-02,"The Chandos Arms",072616-5319
"Oliver Bowers",201-18-06,"The Ship and Whale",986328-7539
"Oliver Fulton",047-80-04,"SPRING BEER HOUSE",556027-9498
"Oliver Fulton",047-80-04,"TAKOMA PARK PUB",562552-4672
"Oliver Fulton",047-80-04,BALDUCCI'S,189932-3255
"Oliver Fulton",047-80-04,"Giza Hookah Lounge",309407-2687
"Oliver Mcclure",746-23-08,"KINGSVIEW CLUB",047272-1463
"Oliver Mcclure",746-23-08,Bruxelles,935080-2824
"Oliver Mcclure",746-23-08,"TAKOMA PARK PUB",562552-4672
"Oliver Mcclure",746-23-08,"SEOULFOOD DC",328119-7933
